date,name,category,value
2020-01-28,中国武漢市,none,1
2020-02-14,中国武漢市,none,1
2020-02-14,石狩振興局管内,none,1
2020-02-19,中国武漢市,none,1
2020-02-19,石狩振興局管内,none,3
2020-02-19,渡島総合振興局管内,none,1
2020-02-21,中国武漢市,none,1
2020-02-21,石狩振興局管内,none,4
2020-02-21,渡島総合振興局管内,none,1
2020-02-21,上川総合振興局管内,none,2
2020-02-22,中国武漢市,none,1
2020-02-22,根室振興局管内,none,1
2020-02-22,石狩振興局管内,none,6
2020-02-22,胆振総合振興局管内,none,2
2020-02-22,上川総合振興局管内,none,3
2020-02-22,渡島総合振興局管内,none,4
2020-02-22,オホーツク総合振興局管内,none,1
2020-02-23,中国武漢市,none,1
2020-02-23,根室振興局管内,none,1
2020-02-23,石狩振興局管内,none,7
2020-02-23,釧路総合振興局管内,none,1
2020-02-23,渡島総合振興局管内,none,4
2020-02-23,胆振総合振興局管内,none,4
2020-02-23,上川総合振興局管内,none,7
2020-02-23,オホーツク総合振興局管内,none,1
2020-02-24,中国武漢市,none,1
2020-02-24,根室振興局管内,none,1
2020-02-24,石狩振興局管内,none,10
2020-02-24,釧路総合振興局管内,none,1
2020-02-24,渡島総合振興局管内,none,4
2020-02-24,胆振総合振興局管内,none,4
2020-02-24,上川総合振興局管内,none,7
2020-02-24,オホーツク総合振興局管内,none,2
2020-02-25,中国武漢市,none,1
2020-02-25,根室振興局管内,none,1
2020-02-25,石狩振興局管内,none,11
2020-02-25,釧路総合振興局管内,none,2
2020-02-25,渡島総合振興局管内,none,4
2020-02-25,胆振総合振興局管内,none,4
2020-02-25,上川総合振興局管内,none,9
2020-02-25,オホーツク総合振興局管内,none,3
2020-02-26,大阪府,none,1
2020-02-26,中国武漢市,none,1
2020-02-26,根室振興局管内,none,1
2020-02-26,石狩振興局管内,none,11
2020-02-26,日高振興局管内,none,2
2020-02-26,釧路総合振興局管内,none,2
2020-02-26,胆振総合振興局管内,none,4
2020-02-26,渡島総合振興局管内,none,5
2020-02-26,上川総合振興局管内,none,9
2020-02-26,オホーツク総合振興局管内,none,3
2020-02-27,大阪府,none,1
2020-02-27,中国武漢市,none,1
2020-02-27,根室振興局管内,none,1
2020-02-27,石狩振興局管内,none,13
2020-02-27,日高振興局管内,none,2
2020-02-27,檜山振興局管内,none,2
2020-02-27,十勝総合振興局管内,none,1
2020-02-27,空知総合振興局管内,none,1
2020-02-27,上川総合振興局管内,none,11
2020-02-27,胆振総合振興局管内,none,4
2020-02-27,釧路総合振興局管内,none,4
2020-02-27,渡島総合振興局管内,none,7
2020-02-27,オホーツク総合振興局管内,none,6
2020-02-28,大阪府,none,1
2020-02-28,中国武漢市,none,1
2020-02-28,根室振興局管内,none,1
2020-02-28,石狩振興局管内,none,17
2020-02-28,日高振興局管内,none,2
2020-02-28,檜山振興局管内,none,3
2020-02-28,十勝総合振興局管内,none,1
2020-02-28,上川総合振興局管内,none,13
2020-02-28,空知総合振興局管内,none,2
2020-02-28,胆振総合振興局管内,none,4
2020-02-28,釧路総合振興局管内,none,6
2020-02-28,渡島総合振興局管内,none,7
2020-02-28,オホーツク総合振興局管内,none,8
2020-02-29,大阪府,none,1
2020-02-29,中国武漢市,none,1
2020-02-29,根室振興局管内,none,1
2020-02-29,日高振興局管内,none,2
2020-02-29,石狩振興局管内,none,20
2020-02-29,檜山振興局管内,none,3
2020-02-29,十勝総合振興局管内,none,1
2020-02-29,上川総合振興局管内,none,13
2020-02-29,空知総合振興局管内,none,2
2020-02-29,胆振総合振興局管内,none,5
2020-02-29,釧路総合振興局管内,none,6
2020-02-29,渡島総合振興局管内,none,7
2020-02-29,オホーツク総合振興局管内,none,8
2020-03-01,大阪府,none,1
2020-03-01,中国武漢市,none,1
2020-03-01,根室振興局管内,none,1
2020-03-01,日高振興局管内,none,2
2020-03-01,石狩振興局管内,none,21
2020-03-01,檜山振興局管内,none,3
2020-03-01,十勝総合振興局管内,none,1
2020-03-01,上川総合振興局管内,none,13
2020-03-01,空知総合振興局管内,none,2
2020-03-01,胆振総合振興局管内,none,5
2020-03-01,釧路総合振興局管内,none,6
2020-03-01,渡島総合振興局管内,none,7
2020-03-01,オホーツク総合振興局管内,none,9
2020-03-02,大阪府,none,1
2020-03-02,中国武漢市,none,1
2020-03-02,根室振興局管内,none,1
2020-03-02,日高振興局管内,none,2
2020-03-02,石狩振興局管内,none,22
2020-03-02,檜山振興局管内,none,3
2020-03-02,十勝総合振興局管内,none,1
2020-03-02,上川総合振興局管内,none,14
2020-03-02,空知総合振興局管内,none,2
2020-03-02,胆振総合振興局管内,none,5
2020-03-02,釧路総合振興局管内,none,6
2020-03-02,渡島総合振興局管内,none,7
2020-03-02,オホーツク総合振興局管内,none,12
2020-03-03,大阪府,none,1
2020-03-03,中国武漢市,none,1
2020-03-03,根室振興局管内,none,1
2020-03-03,日高振興局管内,none,2
2020-03-03,石狩振興局管内,none,24
2020-03-03,檜山振興局管内,none,3
2020-03-03,十勝総合振興局管内,none,1
2020-03-03,上川総合振興局管内,none,14
